lead_id,source,industry,company_size,website_visits,pages_viewed,demo_requested,email_opens,days_since_signup,sales_touchpoints,converted
1,Outbound,Finance,Mid-Market,4,11,0,3,31,1,1
2,Organic,Manufacturing,SMB,8,7,0,3,51,1,0
3,Webinar,Healthcare,SMB,1,2,0,3,4,3,0
4,Organic,Retail,Mid-Market,7,5,0,1,48,2,0
5,Referral,SaaS,Mid-Market,4,6,0,4,27,2,0
6,Organic,Finance,SMB,3,8,1,4,48,1,0
7,Referral,Manufacturing,Mid-Market,6,7,0,1,28,1,0
8,Webinar,Manufacturing,SMB,4,4,1,0,38,1,0
9,Paid Search,Finance,Enterprise,3,6,0,2,42,3,1
10,Outbound,Retail,Mid-Market,5,5,0,2,3,1,0
11,Webinar,Healthcare,SMB,4,7,0,7,56,1,0
12,Paid Search,Retail,SMB,5,4,0,4,56,2,1
13,Referral,Finance,SMB,6,6,0,3,25,0,1
14,Webinar,SaaS,SMB,2,8,0,5,37,2,1
15,Webinar,Retail,Mid-Market,3,8,0,1,46,3,0
16,Outbound,Manufacturing,SMB,3,8,0,6,40,2,0
17,Organic,Retail,Mid-Market,3,6,0,4,10,2,0
18,Webinar,Healthcare,Mid-Market,6,7,1,5,35,1,1
19,Organic,SaaS,Mid-Market,3,3,0,2,18,0,0
20,Outbound,Finance,SMB,1,10,0,1,51,2,0
21,Organic,Retail,Mid-Market,4,7,1,1,59,4,1
22,Outbound,Manufacturing,SMB,4,8,0,2,37,0,0
23,Paid Search,Retail,Mid-Market,3,10,0,3,59,2,1
24,Outbound,Retail,Mid-Market,4,6,0,4,50,0,1
25,Referral,SaaS,Enterprise,5,8,1,3,42,2,1
26,Paid Search,Manufacturing,Mid-Market,1,8,0,1,22,4,1
27,Paid Search,SaaS,Mid-Market,5,7,0,3,59,4,1
28,Referral,Healthcare,SMB,2,7,0,2,56,2,0
29,Paid Search,Manufacturing,Mid-Market,4,5,0,2,44,1,1
30,Referral,SaaS,SMB,4,7,0,3,54,1,0
31,Organic,SaaS,Mid-Market,5,9,0,2,7,2,0
32,Organic,Healthcare,Mid-Market,5,6,0,2,13,5,0
33,Outbound,SaaS,SMB,3,6,0,8,31,0,0
34,Referral,Retail,Mid-Market,5,8,0,6,57,0,1
